species,networks,Taxonomy,Notes
Hemipyrellia sp1 M_PL_107,M_PL_061_24,Genus,
Hemipyrellia sp1 M_PL_108,M_PL_061_25,Genus,
Hemipyrellia sp1 M_PL_109,M_PL_061_26,Genus,
Hemipyrellia sp1 M_PL_110,M_PL_061_27,Genus,
Hemipyrellia sp1 M_PL_111,M_PL_061_28,Genus,
Hemipyrellia sp1 M_PL_112,M_PL_061_29,Genus,
Hemipyrellia sp1 M_PL_114,M_PL_061_31,Genus,
Hemipyrellia sp1 M_PL_115,M_PL_061_32,Genus,
Hemipyrellia sp1 M_PL_118,M_PL_061_35,Genus,
Hemipyrellia sp1 M_PL_119,M_PL_061_36,Genus,
Hemipyrellia sp1 M_PL_123,M_PL_061_40,Genus,
Hemipyrellia sp1 M_PL_126,M_PL_061_43,Genus,
Hemipyrellia sp1 M_PL_127,M_PL_061_44,Genus,
Hemipyrellia sp1 M_PL_129,M_PL_061_46,Genus,
Hemipyrellia sp1 M_PL_130,M_PL_061_47,Genus,
Hemipyrellia sp1 M_PL_131,M_PL_061_48,Genus,
Heteroptera sp23 M_PL_013,M_PL_013,Suborder,
Heteroptera sp45 M_PL_051,M_PL_051,Suborder,
Heterosarus sp1 M_PL_051,M_PL_051,Genus,
Homoneura sp1 M_PL_055,M_PL_055,Genus,
Homoneura sp1 M_PL_061,M_PL_060_02,Genus,
Homoneura sp1 M_PL_062,M_PL_060_03,Genus,
Homoneura sp1 M_PL_063,M_PL_060_04,Genus,
Homoneura sp1 M_PL_064,M_PL_060_05,Genus,
Homoneura sp1 M_PL_072,M_PL_060_13,Genus,
Homoneura sp2 M_PL_055,M_PL_055,Genus,
Homoneura sp2 M_PL_072,M_PL_060_13,Genus,
Hyadina sp1 M_PL_062,M_PL_060_03,Genus,
Hyadina sp1 M_PL_068,M_PL_060_09,Genus,
Hydrellia sp1 M_PL_019,M_PL_019,Genus,
Hydrillodes sp1 M_PL_063,M_PL_060_04,Genus,
Hydrillodes sp1 M_PL_069,M_PL_060_10,Genus,
Hydropsychoides sp1 M_PL_044,M_PL_044,Family,Spelling mistake
Hydropsychoides sp2 M_PL_044,M_PL_044,Family,Spelling mistake
Hylaeus sp1 M_PL_019,M_PL_019,Genus,
Hylaeus sp1 M_PL_073,M_PL_073,Genus,
Hylaeus sp2 M_PL_058,M_PL_058,Genus,
Hymenoptera sp1 M_PL_109,M_PL_061_26,Order,
Hymenoptera sp383 M_PL_057,M_PL_057,Order,
Hymenoptera sp384 M_PL_057,M_PL_057,Order,
Hymenoptera sp39 M_PL_017,M_PL_017,Order,
Hymenoptera sp4 M_PL_013,M_PL_013,Order,
Hymenoptera sp4 M_PL_092,M_PL_061_09,Order,
Hymenoptera sp41 M_PL_017,M_PL_017,Order,
Hymenoptera sp42 M_PL_017,M_PL_017,Order,
Hymenoptera sp5 M_PL_013,M_PL_013,Order,
Hymenoptera sp5 M_PL_089,M_PL_061_06,Order,
Hymenoptera sp5 M_PL_128,M_PL_061_45,Order,
Hymenoptera sp51 M_PL_051,M_PL_051,Order,
Hymenoptera sp52 M_PL_051,M_PL_051,Order,
Hymenoptera sp6 M_PL_013,M_PL_013,Order,
Hyphesma sp1 M_PL_019,M_PL_019,,Can't find
Idiocerus sp1 M_PL_044,M_PL_044,Genus,
Ilespinae sp1 M_PL_057,M_PL_057,,Can't find
Incurviseta sp1 M_PL_019,M_PL_019,Genus,
Incurviseta sp2 M_PL_019,M_PL_019,Genus,
Ischirosyrphus sp1 M_PL_044,M_PL_044,Subgenus,Incorrect spelling: Ischyrosyrphus
Jujiroa sp1 M_PL_057,M_PL_057,Genus,
Lachesilla sp1 M_PL_044,M_PL_044,Genus,
Larra sp1 M_PL_055,M_PL_055,Genus,
Lasioglossum sp K1,M_PL_056,Genus,
Lasioglossum sp K2,M_PL_056,Genus,
Lasioglossum sp1 M_PL_019,M_PL_019,Genus,
Lasioglossum sp1 M_PL_044,M_PL_044,Genus,
Lasioglossum sp1 M_PL_054,M_PL_054,Genus,
Lasioglossum sp1 M_PL_056,M_PL_056,Genus,
Lasioglossum sp1 M_PL_057,M_PL_057,Genus,
Lasioglossum sp1 M_PL_058,M_PL_058,Genus,
Lasioglossum sp1 M_PL_073,M_PL_073,Genus,
Lasioglossum sp10 M_PL_019,M_PL_019,Genus,
Lasioglossum sp10 M_PL_057,M_PL_057,Genus,
Lasioglossum sp11 M_PL_019,M_PL_019,Genus,
Lasioglossum sp11 M_PL_057,M_PL_057,Genus,
Lasioglossum sp12 M_PL_057,M_PL_057,Genus,
Lasioglossum sp2 M_PL_019,M_PL_019,Genus,
Lasioglossum sp2 M_PL_044,M_PL_044,Genus,
Lasioglossum sp2 M_PL_054,M_PL_054,Genus,
Lasioglossum sp2 M_PL_057,M_PL_057,Genus,
Lasioglossum sp3 M_PL_019,M_PL_019,Genus,
Lasioglossum sp3 M_PL_044,M_PL_044,Genus,
Lasioglossum sp3 M_PL_057,M_PL_057,Genus,
Lasioglossum sp4 M_PL_019,M_PL_019,Genus,
Lasioglossum sp4 M_PL_057,M_PL_057,Genus,
Lasioglossum sp5 M_PL_019,M_PL_019,Genus,
Lasioglossum sp5 M_PL_057,M_PL_057,Genus,
Lasioglossum sp6 M_PL_019,M_PL_019,Genus,
Lasioglossum sp6 M_PL_057,M_PL_057,Genus,
Lasioglossum sp7 M_PL_019,M_PL_019,Genus,
Lasioglossum sp7 M_PL_057,M_PL_057,Genus,
Lasioglossum sp8 M_PL_019,M_PL_019,Genus,
Lasioglossum sp8 M_PL_057,M_PL_057,Genus,
Lasioglossum sp9 M_PL_019,M_PL_019,Genus,
Lasioglossum sp9 M_PL_057,M_PL_057,Genus,
Lasiomma sp1 M_PL_045,M_PL_045,Genus,
Lasius sp1 M_PL_057,M_PL_057,Genus,
Lassiopogon sp1 M_PL_058,M_PL_058,Genus,Incorrect spelling: Lasiopogon
Lauxania sp1 M_PL_066,M_PL_060_07,Genus,
Lecithoceridae sp1 M_PL_063,M_PL_060_04,Family,
Lecithoceridae sp1 M_PL_064,M_PL_060_05,Family,
Lecithoceridae sp1 M_PL_067,M_PL_060_08,Family,
Lecithoceridae sp1 M_PL_071,M_PL_060_12,Family,
Lecithoceridae sp1 M_PL_073,M_PL_060_14,Family,
Lecithoceridae sp1 M_PL_076,M_PL_060_17,Family,
Lecithoceridae sp1 M_PL_080,M_PL_060_21,Family,
Lecithoceridae sp1 M_PL_081,M_PL_060_22,Family,
Lecithoceridae sp2 M_PL_064,M_PL_060_05,Family,
Leeuwenia sp1 M_PL_044,M_PL_044,Genus,
Leioproctus sp1 M_PL_019,M_PL_019,Genus,
Leioproctus sp2 M_PL_019,M_PL_019,Genus,
Leioproctus sp3 M_PL_019,M_PL_019,Genus,
Leioproctus sp4 M_PL_019,M_PL_019,Genus,
Leioproctus sp5 M_PL_019,M_PL_019,Genus,
Lepidoptera sp37 M_PL_013,M_PL_013,Order,
Lepidoptera sp38 M_PL_013,M_PL_013,Order,
Lepidoptera sp5 M_PL_051,M_PL_051,Order,
Limnia sp1 M_PL_055,M_PL_055,Genus,
Limnophora sp1 M_PL_019,M_PL_019,Genus,
Limnophora sp1 M_PL_055,M_PL_055,Genus,
Limnophora sp2 M_PL_055,M_PL_055,Genus,
Limnophora sp3 M_PL_055,M_PL_055,Genus,
Limnophora sp4 M_PL_055,M_PL_055,Genus,
Limnophora sp5 M_PL_055,M_PL_055,Genus,
Limnophora sp6 M_PL_055,M_PL_055,Genus,
Limonia sp1 M_PL_065,M_PL_060_06,Genus,
Limoniidae sp1 M_PL_064,M_PL_060_05,Family,
Lispe sp1 M_PL_055,M_PL_055,Genus,
Lucilia sp1 M_PL_006,M_PL_006,Genus,
Lucilia sp1 M_PL_007,M_PL_007,Genus,
Lucilia sp1 M_PL_056,M_PL_056,Genus,
Lygaeidae sp1 M_PL_062,M_PL_060_03,Family,
Lygaeidae sp1 M_PL_064,M_PL_060_05,Family,
Lygaeidae sp1 M_PL_067,M_PL_060_08,Family,
Lygaeidae sp1 M_PL_074,M_PL_060_15,Family,
Lygaeidae sp1 M_PL_077,M_PL_060_18,Family,
Lygaeidae sp1 M_PL_078,M_PL_060_19,Family,
Lygaeidae sp1 M_PL_082,M_PL_060_23,Family,
Lygaeidae sp2 M_PL_065,M_PL_060_06,Family,
Lygistorrhina sp1 M_PL_060,M_PL_060_01,Genus,
Lygistorrhina sp1 M_PL_061,M_PL_060_02,Genus,
Lygistorrhina sp1 M_PL_062,M_PL_060_03,Genus,
Lygistorrhina sp1 M_PL_063,M_PL_060_04,Genus,
Lygistorrhina sp1 M_PL_064,M_PL_060_05,Genus,
Lygistorrhina sp1 M_PL_066,M_PL_060_07,Genus,
Lygistorrhina sp1 M_PL_071,M_PL_060_12,Genus,
Lygistorrhina sp1 M_PL_072,M_PL_060_13,Genus,
Lygistorrhina sp1 M_PL_073,M_PL_060_14,Genus,
Lygistorrhina sp1 M_PL_074,M_PL_060_15,Genus,
Lygistorrhina sp1 M_PL_075,M_PL_060_16,Genus,
Lygistorrhina sp1 M_PL_076,M_PL_060_17,Genus,
Lygistorrhina sp1 M_PL_077,M_PL_060_18,Genus,
Lygistorrhina sp1 M_PL_084,M_PL_061_01,Genus,
Lygistorrhina sp1 M_PL_085,M_PL_061_02,Genus,
Lygistorrhina sp1 M_PL_086,M_PL_061_03,Genus,
Lygistorrhina sp1 M_PL_088,M_PL_061_05,Genus,
Lygistorrhina sp1 M_PL_089,M_PL_061_06,Genus,
Lygistorrhina sp1 M_PL_091,M_PL_061_08,Genus,
Lygistorrhina sp1 M_PL_092,M_PL_061_09,Genus,
Lygistorrhina sp1 M_PL_093,M_PL_061_10,Genus,
Lygistorrhina sp1 M_PL_096,M_PL_061_13,Genus,
Lygistorrhina sp1 M_PL_098,M_PL_061_15,Genus,
Lygistorrhina sp1 M_PL_099,M_PL_061_16,Genus,
Lygistorrhina sp1 M_PL_102,M_PL_061_19,Genus,
Lygistorrhina sp1 M_PL_103,M_PL_061_20,Genus,
Lygistorrhina sp1 M_PL_104,M_PL_061_21,Genus,
Lygistorrhina sp1 M_PL_106,M_PL_061_23,Genus,
Lygistorrhina sp1 M_PL_107,M_PL_061_24,Genus,
Lygistorrhina sp1 M_PL_108,M_PL_061_25,Genus,
Lygistorrhina sp1 M_PL_109,M_PL_061_26,Genus,
Lygistorrhina sp1 M_PL_111,M_PL_061_28,Genus,
Lygistorrhina sp1 M_PL_112,M_PL_061_29,Genus,
Lygistorrhina sp1 M_PL_114,M_PL_061_31,Genus,
Lygistorrhina sp1 M_PL_115,M_PL_061_32,Genus,
Lygistorrhina sp1 M_PL_118,M_PL_061_35,Genus,
Lygistorrhina sp1 M_PL_119,M_PL_061_36,Genus,
Lygistorrhina sp1 M_PL_120,M_PL_061_37,Genus,
Lygistorrhina sp1 M_PL_121,M_PL_061_38,Genus,
Lygistorrhina sp1 M_PL_126,M_PL_061_43,Genus,
Lygistorrhina sp1 M_PL_127,M_PL_061_44,Genus,
Lygistorrhina sp1 M_PL_128,M_PL_061_45,Genus,
Lygistorrhina sp1 M_PL_130,M_PL_061_47,Genus,
Lygistorrhina sp1 M_PL_131,M_PL_061_48,Genus,
Lygistorrhina sp2 M_PL_065,M_PL_060_06,Genus,
Lygocoris sp1 M_PL_044,M_PL_044,Genus,
Lygocoris sp10 M_PL_044,M_PL_044,Genus,
Lygocoris sp2 M_PL_044,M_PL_044,Genus,
Lygocoris sp3 M_PL_044,M_PL_044,Genus,
Lygocoris sp4 M_PL_044,M_PL_044,Genus,
Lygocoris sp5 M_PL_044,M_PL_044,Genus,
Lygocoris sp6 M_PL_044,M_PL_044,Genus,
Lygocoris sp7 M_PL_044,M_PL_044,Genus,
Lygocoris sp8 M_PL_044,M_PL_044,Genus,
Lygocoris sp9 M_PL_044,M_PL_044,Genus,
Macrocorynus sp1 M_PL_044,M_PL_044,Genus,
Macrophya sp1 M_PL_057,M_PL_057,Genus,
Masicera sp1 M_PL_055,M_PL_055,Genus,
Matsumuraiella sp1 M_PL_044,M_PL_044,Genus,
Mauoglossum sp1 M_PL_057,M_PL_057,Genus,
Mecoptera sp485 M_PL_057,M_PL_057,Order,
Mediza sp1 M_PL_044,M_PL_044,,Can't find
Megachile sp1 M_PL_019,M_PL_019,Genus,
Megachile sp1 M_PL_051,M_PL_051,Genus,
Megachile sp1 M_PL_056,M_PL_056,Genus,
Megachile sp1 M_PL_058,M_PL_058,Genus,
Megachile sp2 M_PL_051,M_PL_051,Genus,
Megachile sp2 M_PL_058,M_PL_058,Genus,
Melangyna sp1 M_PL_019,M_PL_019,Genus,
Melangyna sp1 M_PL_057,M_PL_057,Genus,
Melanostoma sp1 M_PL_004,M_PL_004,Genus,
Melanostoma sp1 M_PL_006,M_PL_006,Genus,
Melanostoma sp1 M_PL_007,M_PL_007,Genus,
Melanostoma sp1 M_PL_033,M_PL_033,Genus,
Meliscaeva sp1 M_PL_006,M_PL_006,Genus,
Meliscaeva sp1 M_PL_007,M_PL_007,Genus,
Metasyrphus sp1 M_PL_056,M_PL_056,Subgenus,
Metialina sp1 M_PL_057,M_PL_057,Genus,
Micromoth sp1 M_PL_006,M_PL_006,,Not ranked: group of moth families
Microphthalma sp1 M_PL_013,M_PL_013,Genus,
Microphthalma sp2 M_PL_013,M_PL_013,Genus,
Miridae sp1 M_PL_060,M_PL_060_01,Family,
Miridae sp1 M_PL_064,M_PL_060_05,Family,
Miridae sp1 M_PL_079,M_PL_060_20,Family,
Mordellidae sp1 M_PL_065,M_PL_060_06,Family,
Mordellidae sp1 M_PL_066,M_PL_060_07,Family,
Mordellidae sp1 M_PL_077,M_PL_060_18,Family,
Mordellidae sp1 M_PL_080,M_PL_060_21,Family,
Mordellidae sp1 M_PL_081,M_PL_060_22,Family,
Mordellidae sp1 M_PL_082,M_PL_060_23,Family,
Mordellidae sp2 M_PL_065,M_PL_060_06,Family,
Mordellina sp1 M_PL_054,M_PL_054,Genus,
Mordellina sp1 M_PL_057,M_PL_057,Genus,
Mordellistena sp1 M_PL_054,M_PL_054,Genus,
Mordellistena sp1 M_PL_056,M_PL_056,Genus,
Mordellistena sp1 M_PL_057,M_PL_057,Genus,
Mythimna sp1 M_PL_064,M_PL_060_05,Genus,
Nacoleia sp1 M_PL_060,M_PL_060_01,Genus,
Nacoleia sp1 M_PL_061,M_PL_060_02,Genus,
Nacoleia sp1 M_PL_062,M_PL_060_03,Genus,
Nacoleia sp1 M_PL_063,M_PL_060_04,Genus,
Nacoleia sp1 M_PL_064,M_PL_060_05,Genus,
Nacoleia sp1 M_PL_066,M_PL_060_07,Genus,
Nacoleia sp1 M_PL_067,M_PL_060_08,Genus,
Nacoleia sp1 M_PL_068,M_PL_060_09,Genus,
Nacoleia sp1 M_PL_069,M_PL_060_10,Genus,
Nacoleia sp1 M_PL_070,M_PL_060_11,Genus,
Nacoleia sp1 M_PL_071,M_PL_060_12,Genus,
Nacoleia sp1 M_PL_072,M_PL_060_13,Genus,
Nacoleia sp1 M_PL_073,M_PL_060_14,Genus,
Nacoleia sp1 M_PL_074,M_PL_060_15,Genus,
Nacoleia sp1 M_PL_075,M_PL_060_16,Genus,
Nacoleia sp1 M_PL_076,M_PL_060_17,Genus,
Nacoleia sp1 M_PL_077,M_PL_060_18,Genus,
Nacoleia sp1 M_PL_079,M_PL_060_20,Genus,
Nacoleia sp1 M_PL_080,M_PL_060_21,Genus,
Nacoleia sp1 M_PL_081,M_PL_060_22,Genus,
Nacoleia sp1 M_PL_082,M_PL_060_23,Genus,
Nacoleia sp2 M_PL_061,M_PL_060_02,Genus,
Nacoleia sp2 M_PL_063,M_PL_060_04,Genus,
Nacoleia sp2 M_PL_064,M_PL_060_05,Genus,
Nacoleia sp2 M_PL_067,M_PL_060_08,Genus,
Nacoleia sp2 M_PL_068,M_PL_060_09,Genus,
Nacoleia sp2 M_PL_072,M_PL_060_13,Genus,
Nacoleia sp2 M_PL_073,M_PL_060_14,Genus,
Nacoleia sp2 M_PL_075,M_PL_060_16,Genus,
Nacoleia sp2 M_PL_081,M_PL_060_22,Genus,
Nacoleia sp3 M_PL_065,M_PL_060_06,Genus,
Nacoleia sp4 M_PL_065,M_PL_060_06,Genus,
Neoascia sp1 M_PL_057,M_PL_057,Genus,
Neuroptera sp132 M_PL_054,M_PL_054,Order,
Neuroptera sp35 M_PL_054,M_PL_054,Order,
Neuroptera sp486 M_PL_057,M_PL_057,Order,
Nitidulidae sp1 M_PL_077,M_PL_060_18,Family,
Nodena sp1 M_PL_044,M_PL_044,,Can't find
Nogodinidae sp1 M_PL_067,M_PL_060_08,Family,
Nomada sp1 M_PL_025,M_PL_025,Genus,
Nomada sp1 M_PL_056,M_PL_056,Genus,
Nomada sp1 M_PL_057,M_PL_057,Genus,
Nomada sp1 M_PL_058,M_PL_058,Genus,
Nysius sp1 M_PL_054,M_PL_054,Genus,
Nysius sp1 M_PL_057,M_PL_057,Genus,
Odontobracon sp1 M_PL_055,M_PL_055,Genus,
Oligia sp1 M_PL_006,M_PL_006,Genus,
Onesia sp1 M_PL_056,M_PL_056,Genus,
Oomorphoides sp1 M_PL_044,M_PL_044,Genus,
Orthoptera sp126 M_PL_057,M_PL_057,Order,
Orthoptera sp127 M_PL_057,M_PL_057,Order,
Orthoptera sp133 M_PL_054,M_PL_054,Order,
Orthoptera sp134 M_PL_054,M_PL_054,Order,
Orthoptera sp135 M_PL_054,M_PL_054,Order,
Orthoptera sp487 M_PL_057,M_PL_057,Order,
Orthoptera sp68 M_PL_057,M_PL_057,Order,
Orthoptera sp69 M_PL_057,M_PL_057,Order,
Osmia sp1 M_PL_025,M_PL_025,Genus,
Osmia sp1 M_PL_058,M_PL_058,Genus,
Pachyprotasis sp1 M_PL_057,M_PL_057,Genus,
Pachyprotasis sp2 M_PL_057,M_PL_057,Genus,
Pachyprotasis sp3 M_PL_057,M_PL_057,Genus,
Paleorhiza sp1 M_PL_071,M_PL_060_12,Genus,
Palexorista sp1 M_PL_074,M_PL_060_15,Genus,
Parhelophilus sp1 M_PL_006,M_PL_006,Genus,
Passaloecus sp1 M_PL_004,M_PL_004,Genus,
Pegomya sp1 M_PL_045,M_PL_045,Genus,
Peribaea sp1 M_PL_065,M_PL_060_06,Genus,
Phalangida sp488 M_PL_057,M_PL_057,Order,
Phaonia sp1 M_PL_055,M_PL_055,Genus,
Phaonia sp2 M_PL_055,M_PL_055,Genus,
Phaonia sp3 M_PL_055,M_PL_055,Genus,
Phelsuma sp1 M_PL_084,M_PL_061_01,Genus,
Phelsuma sp1 M_PL_085,M_PL_061_02,Genus,
Phelsuma sp1 M_PL_086,M_PL_061_03,Genus,
Phelsuma sp1 M_PL_088,M_PL_061_05,Genus,
Phelsuma sp1 M_PL_089,M_PL_061_06,Genus,
Phelsuma sp1 M_PL_090,M_PL_061_07,Genus,
Phelsuma sp1 M_PL_091,M_PL_061_08,Genus,
Phelsuma sp1 M_PL_093,M_PL_061_10,Genus,
Phelsuma sp1 M_PL_096,M_PL_061_13,Genus,
Phelsuma sp1 M_PL_097,M_PL_061_14,Genus,
Phelsuma sp1 M_PL_098,M_PL_061_15,Genus,
Phelsuma sp1 M_PL_099,M_PL_061_16,Genus,
Phelsuma sp1 M_PL_100,M_PL_061_17,Genus,
Phelsuma sp1 M_PL_101,M_PL_061_18,Genus,
Phelsuma sp1 M_PL_102,M_PL_061_19,Genus,
Phelsuma sp1 M_PL_103,M_PL_061_20,Genus,
Phelsuma sp1 M_PL_104,M_PL_061_21,Genus,
Phelsuma sp1 M_PL_105,M_PL_061_22,Genus,
Phelsuma sp1 M_PL_107,M_PL_061_24,Genus,
Phelsuma sp1 M_PL_111,M_PL_061_28,Genus,
Phelsuma sp1 M_PL_112,M_PL_061_29,Genus,
Phelsuma sp1 M_PL_113,M_PL_061_30,Genus,
Phelsuma sp1 M_PL_114,M_PL_061_31,Genus,
Phelsuma sp1 M_PL_115,M_PL_061_32,Genus,
Phelsuma sp1 M_PL_119,M_PL_061_36,Genus,
Phelsuma sp1 M_PL_120,M_PL_061_37,Genus,
Phelsuma sp1 M_PL_121,M_PL_061_38,Genus,
Phelsuma sp1 M_PL_122,M_PL_061_39,Genus,
Phelsuma sp1 M_PL_123,M_PL_061_40,Genus,
Phelsuma sp1 M_PL_128,M_PL_061_45,Genus,
Phelsuma sp1 M_PL_129,M_PL_061_46,Genus,
Phelsuma sp1 M_PL_130,M_PL_061_47,Genus,
Phelsuma sp1 M_PL_131,M_PL_061_48,Genus,
Philonicus sp1 M_PL_044,M_PL_044,Genus,
Phorinia sp1 M_PL_061,M_PL_060_02,Genus,
Phorinia sp1 M_PL_062,M_PL_060_03,Genus,
Phorinia sp1 M_PL_063,M_PL_060_04,Genus,
Phorinia sp1 M_PL_066,M_PL_060_07,Genus,
Phorinia sp1 M_PL_067,M_PL_060_08,Genus,
Phorinia sp1 M_PL_068,M_PL_060_09,Genus,
Phorinia sp1 M_PL_069,M_PL_060_10,Genus,
Phorinia sp1 M_PL_070,M_PL_060_11,Genus,
Phorinia sp1 M_PL_071,M_PL_060_12,Genus,
Phorinia sp1 M_PL_072,M_PL_060_13,Genus,
Phorinia sp1 M_PL_075,M_PL_060_16,Genus,
Phorinia sp1 M_PL_079,M_PL_060_20,Genus,
Phorinia sp1 M_PL_080,M_PL_060_21,Genus,
Phorinia sp1 M_PL_081,M_PL_060_22,Genus,
Phorinia sp1 M_PL_082,M_PL_060_23,Genus,
Phthiria sp1 M_PL_051,M_PL_051,Genus,
Phthiria sp2 M_PL_051,M_PL_051,Genus,
Phytobius sp1 M_PL_055,M_PL_055,Genus,
Phytoliriomyza sp1 M_PL_019,M_PL_019,Genus,
Platycheirus sp1 M_PL_006,M_PL_006,Genus,
Platycheirus sp1 M_PL_007,M_PL_007,Genus,
Platycheirus sp1 M_PL_051,M_PL_051,Genus,
Platycheirus sp1 M_PL_056,M_PL_056,Genus,
Plecoptera sp128 M_PL_057,M_PL_057,Order,
Plecoptera sp489 M_PL_057,M_PL_057,Order,
Plecoptera sp490 M_PL_057,M_PL_057,Order,
Plecoptera sp491 M_PL_057,M_PL_057,Order,
Plecoptera sp492 M_PL_057,M_PL_057,Order,
Plecoptera sp493 M_PL_057,M_PL_057,Order,
Plecoptera sp494 M_PL_057,M_PL_057,Order,
Plecoptera sp495 M_PL_057,M_PL_057,Order,
Podabrus sp1 M_PL_044,M_PL_044,Genus,
Podabrus sp2 M_PL_044,M_PL_044,Genus,
Podabrus sp3 M_PL_044,M_PL_044,Genus,
Poecilohetaerus sp1 M_PL_019,M_PL_019,Genus,
Pollenia sp1 M_PL_006,M_PL_006,Genus,
Pollenia sp1 M_PL_007,M_PL_007,Genus,
Prosena sp1 M_PL_019,M_PL_019,Genus,
Protocalliphora sp1 M_PL_024,M_PL_024,Genus,
Psen sp1 M_PL_055,M_PL_055,Genus,
Psenulus sp1 M_PL_057,M_PL_057,Genus,
Psilothrix sp1 M_PL_058,M_PL_058,Genus,
Psithyrus sp1 M_PL_004,M_PL_004,Subgenus,
Psithyrus sp1 M_PL_017,M_PL_017,Subgenus,
Psococerastis sp1 M_PL_044,M_PL_044,Genus,
Psococerastis sp2 M_PL_044,M_PL_044,Genus,
Psococerastis sp3 M_PL_044,M_PL_044,Genus,
Psocoptera sp138 M_PL_054,M_PL_054,Order,
Psyllidae sp1 M_PL_060,M_PL_060_01,Family,
Psyllidae sp1 M_PL_064,M_PL_060_05,Family,
Psyllidae sp1 M_PL_073,M_PL_060_14,Family,
Pteromalidae sp1 M_PL_062,M_PL_060_03,Family,
Pteromalidae sp1 M_PL_069,M_PL_060_10,Family,
Pterophoridae sp1 M_PL_062,M_PL_060_03,Family,
Quasimus sp1 M_PL_044,M_PL_044,Genus,
Rhamphomyia sp1 M_PL_024,M_PL_024,Genus,
Rhopalum sp1 M_PL_004,M_PL_004,Genus,
Rhotana sp1 M_PL_044,M_PL_044,Genus,
Rivellia sp1 M_PL_019,M_PL_019,Genus,
Rutilia sp1 M_PL_019,M_PL_019,Genus,
Sapromyza sp1 M_PL_019,M_PL_019,Genus,
Sapromyza sp1 M_PL_060,M_PL_060_01,Genus,
Sapromyza sp1 M_PL_061,M_PL_060_02,Genus,
Sapromyza sp1 M_PL_064,M_PL_060_05,Genus,
Sapromyza sp1 M_PL_066,M_PL_060_07,Genus,
Sapromyza sp1 M_PL_068,M_PL_060_09,Genus,
Sapromyza sp1 M_PL_072,M_PL_060_13,Genus,
Sapromyza sp1 M_PL_073,M_PL_060_14,Genus,
Sapromyza sp1 M_PL_083,M_PL_060_24,Genus,
Sarcophaga sp1 M_PL_013,M_PL_013,Genus,
Sarcophagus sp1 M_PL_006,M_PL_006,Family,I think this is a spelling mistake: Sarcophagidae
Sarcophagus sp1 M_PL_007,M_PL_007,Family,I think this is a spelling mistake: Sarcophagidae
Sarrothripinae sp1 M_PL_067,M_PL_060_08,Subfamily,Best information I can get
Scaptodrosophila sp1 M_PL_084,M_PL_061_01,Genus,
Scaptodrosophila sp1 M_PL_088,M_PL_061_05,Genus,
Scaptodrosophila sp1 M_PL_090,M_PL_061_07,Genus,
Scaptodrosophila sp1 M_PL_096,M_PL_061_13,Genus,
Scaptodrosophila sp1 M_PL_100,M_PL_061_17,Genus,
Scaptodrosophila sp1 M_PL_101,M_PL_061_18,Genus,
Scaptodrosophila sp1 M_PL_102,M_PL_061_19,Genus,
Scaptodrosophila sp1 M_PL_104,M_PL_061_21,Genus,
Scaptodrosophila sp1 M_PL_106,M_PL_061_23,Genus,
Scaptodrosophila sp1 M_PL_107,M_PL_061_24,Genus,
Scaptodrosophila sp1 M_PL_108,M_PL_061_25,Genus,
Scaptodrosophila sp1 M_PL_120,M_PL_061_37,Genus,
Scaptodrosophila sp1 M_PL_122,M_PL_061_39,Genus,
Scaptodrosophila sp1 M_PL_130,M_PL_061_47,Genus,
Scatopsidae sp1 M_PL_063,M_PL_060_04,Family,
Scatopsidae sp1 M_PL_074,M_PL_060_15,Family,
Scirtidae sp1 M_PL_060,M_PL_060_01,Family,
Scirtidae sp1 M_PL_073,M_PL_060_14,Family,
Scirtidae sp1 M_PL_074,M_PL_060_15,Family,
Scirtidae sp2 M_PL_060,M_PL_060_01,Family,
Scolia sp1 M_PL_058,M_PL_058,Genus,
