species,networks,Taxonomy
Abutilon Arias-Arone2016 unidsp 1,Arias_Arone_2016,Genus
Acacia Suzuki2007 unidsp 1,Suzuki_2007,Genus
Actinidia Koike2008 unidsp mult,Koike_2008,Genus
Ageratum Garcia-Estrada2012 unidsp 423,Garcia_Estrada_2012,Genus
Aglaia sp1 M_SD_002,M_SD_002,Genus
Akebia Koike2008 unidsp mult,Koike_2008,Genus
Alchornea Engel2000 unidsp 1,Engel_2000,Genus
Alchornea Quitian2018 unidsp 100,Quitian_2018_1000Natural,Genus
Aldama Garcia-Estrada2012 unidsp 50,Garcia_Estrada_2012,Genus
Allophylus Quitian2018 unidsp 200,Quitian_2018_2000Fragmented,Genus
Amaranthaceae Gorchov1995 unidsp 1,Gorchov_1995,Family
Annona Lopez& unidsp 866,Lopez_and_Vaughn_2004,Genus
Annonaceae Correa2016 unidsp 1,Correa_2016_Apaporis,Family
Annonaceae Engel2000 unidsp 1,Engel_2000,Family
Annonaceae Engel2000 unidsp 2,Engel_2000,Family
Annonaceae Engel2000 unidsp 3,Engel_2000,Family
Annonaceae Engel2000 unidsp 4,Engel_2000,Family
Annonaceae Engel2000 unidsp 5,Engel_2000,Family
Anthurium Arias-Arone2016 unidsp 1,Arias_Arone_2016,Genus
Anthurium Arias-Arone2016 unidsp 2,Arias_Arone_2016,Genus
Anthurium Arias-Arone2016 unidsp 3,Arias_Arone_2016,Genus
Anthurium Blake1992 unidsp 1,Blake_1992,Genus
Anthurium Castano2018 unidsp 1,Castano_2018,Genus
Anthurium Castro-Luna2012 unidsp 968,Castro_Luna_2012,Genus
Anthurium Correa2016 unidsp 1,Correa_2016_Caqueta,Genus
Anthurium Gorchov1995 unidsp 1,Gorchov_1995,Genus
Anthurium Lopez& unidsp 377,Lopez_and_Vaughn_2004,Genus
Anthurium Wolfe2014 unidsp mult,Wolfe_2014,Genus
Anthurium Zamora-Delgado2008 unidsp 760,Zamora_Delgado_2008,Genus
Aporosa Kamruzzaman2008 unidsp 906,Kamruzzaman_2008,Genus
Aporusa sp1 M_SD_002,M_SD_002,Genus
Araceae Correa2016 unidsp 1,Correa_2016_Caqueta,Family
Araceae Correa2016 unidsp 499,Correa_2016_Apaporis,Family
Araceae Gorchov1995 unidsp 1,Gorchov_1995,Family
Araceae Lima2016 unidsp 86,Lima_2016,Family
Asplundia Arias-Arone2016 unidsp 1,Arias_Arone_2016,Genus
Asteliaceae Arias-Arone2016 unidsp 1,Arias_Arone_2016,Family
Asystasia Engel2000 unidsp 1,Engel_2000,Genus
Aureliana Passos2003 unidsp 1,Passos_2003,Genus
Betula Jaroszewicz2013 unidsp 961,Jaroszewicz_2013,Genus
Bocageopsis Correa2016 unidsp 402,Correa_2016_Apaporis,Genus
Bromeliaceae Machado-de-Souza2019 unidsp 323,Machado_de_Souza_2019,Family
Byrsonima Correa2016 unidsp 227,Correa_2016_Apaporis,Genus
Byrsonima DosReis unidsp 1,Dos_Reis_1983_Cult_et_form_sec,Genus
Cactaceae Gorchov1995 unidsp 1,Gorchov_1995,Family
Calophyllum Correa2016 unidsp 1,Correa_2016_Caqueta,Genus
Campomanesia Lessa2013 unidsp 335,Lessa_2013,Genus
Canthium Engel2000 unidsp 1,Engel_2000,Genus
Canthium Engel2000 unidsp 2,Engel_2000,Genus
Canthium Engel2000 unidsp 3,Engel_2000,Genus
Canthium Engel2000 unidsp 4,Engel_2000,Genus
Canthium sp1 M_SD_002,M_SD_002,Genus
Carex Jaroszewicz2013 unidsp 793,Jaroszewicz_2013,Genus
Cavendishia Zamora-Delgado2008 unidsp 325,Zamora_Delgado_2008,Genus
Cecropia Andrade2011 unidsp 729,Andrade_2011,Genus
Cecropia Arias-Arone2016 unidsp 1,Arias_Arone_2016,Genus
Cecropia Arias-Arone2016 unidsp 2,Arias_Arone_2016,Genus
Cecropia Arias-Arone2016 unidsp 3,Arias_Arone_2016,Genus
Cecropia Arias-Arone2016 unidsp 4,Arias_Arone_2016,Genus
Cecropia Arias-Arone2016 unidsp 5,Arias_Arone_2016,Genus
Cecropia Arias-Arone2016 unidsp 6,Arias_Arone_2016,Genus
Cecropia Arias-Arone2016 unidsp 7,Arias_Arone_2016,Genus
Cecropia Athie2009 unidsp mult,Athie_2009,Genus
Cecropia Brito2010 unidsp 42,Brito_2010,Genus
Cecropia Carvalho2008 unidsp 1,Carvalho_2008,Genus
Cecropia Correa2016 unidsp 2,Correa_2016_Caqueta,Genus
Cecropia Correa2016 unidsp 3,Correa_2016_Caqueta,Genus
Cecropia Hayashi1996 unidsp 369,Hayashi_1996,Genus
Cecropia Lima2016 unidsp 653,Lima_2016,Genus
Cecropia Novoa2011 unidsp 498,Novoa_2011,Genus
Cecropia Quitian2018 unidsp 100,Quitian_2018_1000Fragmented,Genus
Cecropia Quitian2018 unidsp 101,Quitian_2018_1000Fragmented; Quitian_2018_1000Natural,Genus
Cecropia Quitian2018 unidsp 102,Quitian_2018_1000Fragmented,Genus
Cecropia SAAV1NA unidsp 487,SAAV1,Genus
Cecropia Santiago2014 unidsp 1,Santiago_2014_close_to_remnant; Santiago_2014_far_from_remnant,Genus
Cecropia deOliveira unidsp 2,de_Oliveira_1999,Genus
Celastraceae Correa2016 unidsp 721,Correa_2016_Apaporis,Family
Centropogon Castano2018 unidsp 1,Castano_2018,Genus
Cerastium sp1 M_SD_031,M_SD_031,Genus
Cestrum Preciado-Benitez2015 unidsp 1,Preciado_Benitez_2015,Genus
Cestrum sp1 M_SD_012,M_SD_012,Genus
Chenopodium Castley2001 unidsp 803,Castley_2001,Genus
Chiococca Andrade2011 unidsp 600,Andrade_2011,Genus
Chisocheton sp1 M_SD_002,M_SD_002,Genus
Chrysophyllum Correa2016 unidsp 1,Correa_2016_Caqueta,Genus
Cissampelos Blake1992 unidsp 713,Blake_1992,Genus
Citrus Nogales2017 unidsp 624,Nogales_2017,Genus
Citrus Suzuki2007 unidsp 1,Suzuki_2007,Genus
Clidemia M_SD_010single unidsp 1,M_SD_010_single_partners_added,Genus
Clidemia Wolfe2014 unidsp mult,Wolfe_2014,Genus
Clusia Blake1992 unidsp 110,Blake_1992,Genus
Clusia Correa2016 unidsp 1,Correa_2016_Caqueta,Genus
Clusia Correa2016 unidsp 2,Correa_2016_Caqueta,Genus
Clusia Correa2016 unidsp 914,Correa_2016_Apaporis,Genus
Clusia DosReis unidsp 1,Dos_Reis_1983_Cult_et_form_sec,Genus
Clusia Gorchov1995 unidsp 1,Gorchov_1995,Genus
Clusia M_SD_010single unidsp 1,M_SD_010_single_partners_added,Genus
Clusiaceae Aguiar2007 unidsp mult,Aguiar_2007,Family
Clusiaceae Gorchov1995 unidsp 1,Gorchov_1995,Family
Coccocypselum Santiago2014 unidsp 1,Santiago_2014_close_to_remnant,Genus
Coccoloba Malaccoda unidsp 152,Malacco_da_Silva_2014,Genus
Codonanthe Gorchov1995 unidsp 15,Gorchov_1995,Genus
Coffea DosReis unidsp 1,Dos_Reis_1983_Cult_et_form_sec,Genus
Columnea Castano2018 unidsp 1,Castano_2018,Genus
Conceveiba Correa2016 unidsp 1,Correa_2016_Caqueta,Genus
Conostegia Blake1992 unidsp 514,Blake_1992,Genus
Coprosma Odonnell1994 unidsp 1,Odonnell_1994,Genus
Cordia sp1 M_SD_012,M_SD_012,Genus
Cornus Labbe2011 unidsp 340,Labbe_2011,Genus
Coussapoa Gorchov1995 unidsp 1,Gorchov_1995,Genus
Coussarea Dehling2017 unidsp 1,Dehling_2017_San_Pedro_2,Genus
Coussarea SAAV2NA unidsp 528,SAAV2,Genus
Cryptocarya Pratt1985 unidsp 1,Pratt_1985,Genus
Cryptocarya Pratt1985 unidsp 2,Pratt_1985,Genus
Cuatresia Zamora-Delgado2008 unidsp 444,Zamora_Delgado_2008,Genus
Cucumis Engel2000 unidsp 1,Engel_2000,Genus
Cucurbitaceae Correa2016 unidsp 1,Correa_2016_Apaporis; Correa_2016_Caqueta,Family
Cucurbitaceae Gomes2013 unidsp 32,Gomes_2013,Family
Cucurbitaceae Gorchov1995 unidsp 1,Gorchov_1995,Family
Cupania M_SD_010single unidsp 1,M_SD_010_single_partners_added,Genus
Cupania deOliveira unidsp 516,de_Oliveira_1999,Genus
Cyclanthaceae Arias-Arone2016 unidsp 1,Arias_Arone_2016,Family
Cyperaceae Cruz2013 unidsp 1,Cruz_2013_Summer,Family
Cyperaceae Wyman2017 unidsp mult,Wyman_2017,Family
Dacryodes Quitian2018 unidsp 100,Quitian_2018_1000Fragmented; Quitian_2018_1000Natural,Genus
Dieffenbachia Blake1992 unidsp 353,Blake_1992,Genus
Dilleniaceae Blake1992 unidsp 417,Blake_1992,Family
Diospyros Engel2000 unidsp 1,Engel_2000,Genus
Drymaria Garcia-Estrada2012 unidsp 359,Garcia_Estrada_2012,Genus
Dysoxylum Pratt1985 unidsp 640,Pratt_1985,Genus
Dysoxylum sp1 M_SD_002,M_SD_002,Genus
Elaeagnus Labbe2011 unidsp 63,Labbe_2011,Genus
Elaeocarpus Pratt1985 unidsp 61,Pratt_1985,Genus
Elmerrillia sp1 M_SD_002,M_SD_002,Genus
Endlicheria Dehling2017 unidsp 438,Dehling_2017_San_Pedro_1,Genus
Endospermum sp1 M_SD_002,M_SD_002,Genus
Epilobium Jaroszewicz2013 unidsp 204,Jaroszewicz_2013,Genus
Eragrostis Nogales2017 unidsp 133,Nogales_2017,Genus
Ericaceae Blake1992 unidsp 117,Blake_1992,Family
Eriosema Engel2000 unidsp 1,Engel_2000,Genus
Erythroxylum Genrich2017 unidsp 693,Genrich_2017,Genus
Erythroxylum Malaccoda unidsp 3,Malacco_da_Silva_2014,Genus
Eugenia Castro2015 unidsp 1,Castro_2015,Genus
Eugenia Castro2015 unidsp 2,Castro_2015,Genus
Eugenia Correa2016 unidsp 137,Correa_2016_Apaporis,Genus
Eugenia Faustino2006 unidsp 538,Faustino_2006,Genus
Eugenia SAAV1NA unidsp 885,SAAV1,Genus
Eugenia SAAV2NA unidsp 815,SAAV2,Genus
Eugenia deOliveira unidsp 914,de_Oliveira_1999,Genus
Euphorbiaceae Arias-Arone2016 unidsp 1,Arias_Arone_2016,Family
Euphorbiaceae Arias-Arone2016 unidsp 2,Arias_Arone_2016,Family
Euphorbiaceae Cruz2013 unidsp 1,Cruz_2013_Autumn; Cruz_2013_Winter,Family
Euphorbiaceae Genrich2017 unidsp 556,Genrich_2017,Family
Fagaceae Gomes2013 unidsp 966,Gomes_2013,Family
Fagaceae Lessa2013 unidsp 1,Lessa_2013,Family
Fagaceae Lessa2013 unidsp 2,Lessa_2013,Family
Fagaceae SARMwhole unidsp 1,SARM_whole_network_from_paper,Family
Fagaceae SARMwhole unidsp 2,SARM_whole_network_from_paper,Family
Fagaceae SARMwhole unidsp 225,SARM_whole_network_from_paper,Family
Ficus 181,M_SD_002,Genus
Ficus 202,M_SD_002,Genus
Ficus 217,M_SD_002,Genus
Ficus 246,M_SD_002,Genus
Ficus 275,M_SD_002,Genus
Ficus 371,M_SD_002,Genus
Ficus Aguiar2007 unidsp mult,Aguiar_2007,Genus
Ficus Arias-Arone2016 unidsp 1,Arias_Arone_2016,Genus
Ficus Arias-Arone2016 unidsp 2,Arias_Arone_2016,Genus
Ficus Arias-Arone2016 unidsp 3,Arias_Arone_2016,Genus
Ficus Arias-Arone2016 unidsp 4,Arias_Arone_2016,Genus
Ficus Blake1992 unidsp 734,Blake_1992,Genus
Ficus Brito2010 unidsp 314,Brito_2010,Genus
Ficus Carvalho2008 unidsp mult,Carvalho_2008,Genus
Ficus Castano2018 unidsp 1,Castano_2018,Genus
Ficus Castano2018 unidsp 2,Castano_2018,Genus
Ficus Castano2018 unidsp 3,Castano_2018,Genus
Ficus Castro-Luna2012 unidsp 11,Castro_Luna_2012,Genus
Ficus Castro-Luna2012 unidsp 12,Castro_Luna_2012,Genus
Ficus Castro-Luna2012 unidsp 22,Castro_Luna_2012,Genus
Ficus Castro-Luna2012 unidsp 44,Castro_Luna_2012,Genus
Ficus Castro-Luna2012 unidsp 55,Castro_Luna_2012,Genus
Ficus Castro-Luna2012 unidsp 66,Castro_Luna_2012,Genus
Ficus Correa2016 unidsp 1,Correa_2016_Apaporis; Correa_2016_Caqueta,Genus
Ficus Correa2016 unidsp 2,Correa_2016_Caqueta,Genus
Ficus Correa2016 unidsp 3,Correa_2016_Caqueta,Genus
Ficus Daru2015 unidsp 1,Daru_2015,Genus
Ficus DosReis unidsp 1,Dos_Reis_1983_Cult_et_form_sec,Genus
Ficus Engel2000 unidsp 1,Engel_2000,Genus
Ficus Fadini2004 unidsp 945,Fadini_2004,Genus
Ficus Faria1996 unidsp 1,Faria_1996,Genus
Ficus Faria1996 unidsp 2,Faria_1996,Genus
Ficus Fleming1977 unidsp mult,Fleming_1977,Genus
Ficus Garcia-Estrada2012 unidsp 2,Garcia_Estrada_2012,Genus
Ficus Garcia-Estrada2012 unidsp 3,Garcia_Estrada_2012,Genus
Ficus Garcia-Morales2012 unidsp 1,Garcia_Morales_2012,Genus
Ficus Garciaet unidsp 1,Garcia_et_al_2000,Genus
Ficus Garciaet unidsp 2,Garcia_et_al_2000,Genus
Ficus Garciaet unidsp 3,Garcia_et_al_2000,Genus
Ficus Genrich2017 unidsp 270,Genrich_2017,Genus
Ficus Gomes2013 unidsp 388,Gomes_2013,Genus
Ficus Gorchov1995 unidsp 1,Gorchov_1995,Genus
Ficus Gorchov1995 unidsp 2,Gorchov_1995,Genus
Ficus Gorchov1995 unidsp 3,Gorchov_1995,Genus
Ficus Gorchov1995 unidsp 4,Gorchov_1995,Genus
Ficus Gorchov1995 unidsp 42,Gorchov_1995,Genus
Ficus Gorchov1995 unidsp 9,Gorchov_1995,Genus
Ficus Lima2016 unidsp 1,Lima_2016,Genus
Ficus Lima2016 unidsp 2,Lima_2016,Genus
Ficus Lima2016 unidsp 3,Lima_2016,Genus
Ficus Lou2005 unidsp 1,Lou_2005,Genus
Ficus Lou2005 unidsp 2,Lou_2005,Genus
Ficus Lou2005 unidsp 3,Lou_2005,Genus
Ficus Lou2005 unidsp 4,Lou_2005,Genus
Ficus Lou2007 unidsp 1,Lou_2007,Genus
Ficus Lou2007 unidsp 2,Lou_2007,Genus
Ficus Mancina2007 unidsp 1,Mancina_2007_dry,Genus
Ficus Mello2014 unidsp 1,Mello_2014_Mata_de_Grota,Genus
Ficus Munster2008 unidsp 1,Munster_2008,Genus
Ficus Munster2008 unidsp 2,Munster_2008,Genus
Ficus Novoa2011 unidsp 1,Novoa_2011,Genus
Ficus Novoa2011 unidsp 2,Novoa_2011,Genus
Ficus Novoa2011 unidsp 3,Novoa_2011,Genus
Ficus Palmeirim1989 unidsp 2,Palmeirim_1989,Genus
Ficus Passos2003 unidsp 1,Passos_2003,Genus
Ficus Pedro1992 unidsp 1,Pedro_1992,Genus
Ficus Pratt1985 unidsp 8,Pratt_1985,Genus
Ficus Ramos-Robles2016 unidsp 872,Ramos_Robles_2016_net6,Genus
Ficus Ramos-Robles2016 unidsp 909,Ramos_Robles_2016_net4,Genus
Ficus Sanchez2012 unidsp 401,Sanchez_2012_Iguazu,Genus
Ficus SilvaOliveira unidsp mult,Silva_Oliveira_2018,Genus
Ficus Silveira2006 unidsp 655,Silveira_2006,Genus
Ficus SouzaLaurindo unidsp 1,Souza_Laurindo_2017,Genus
Ficus Suzuki2007 unidsp 3,Suzuki_2007,Genus
Ficus Tavares2007 unidsp mult,Tavares_2007,Genus
Ficus Zamora-Delgado2008 unidsp 1,Zamora_Delgado_2008,Genus
Ficus Zamora-Delgado2008 unidsp 2,Zamora_Delgado_2008,Genus
Ficus Zapata-Mesa2017 unidsp 1,Zapata_Mesa_2017_MR_September,Genus
Ficus deOliveira unidsp 300,de_Oliveira_1999,Genus
Ficus sp1 M_SD_003,M_SD_003,Genus
Ficus sp1 M_SD_004,M_SD_004,Genus
Ficus sp1 M_SD_005,M_SD_005,Genus
Ficus sp1 M_SD_006,M_SD_006,Genus
Flacourtiaceae Arias-Arone2016 unidsp 1,Arias_Arone_2016,Family
Galium Zamora-Delgado2008 unidsp 959,Zamora_Delgado_2008,Genus
Gastonia sp1 M_SD_002,M_SD_002,Genus
Geonoma Wolfe2014 unidsp mult,Wolfe_2014,Genus
Gesneriaceae Gorchov1995 unidsp 1,Gorchov_1995,Family
Gesneriaceae Zamora-Delgado2008 unidsp 371,Zamora_Delgado_2008,Family
Glochidion Kamruzzaman2008 unidsp 874,Kamruzzaman_2008,Genus
Glochidion sp1 M_SD_002,M_SD_002,Genus
Gnetum Suzuki2007 unidsp 1,Suzuki_2007,Genus
Godmania Santiago2014 unidsp 174,Santiago_2014_far_from_remnant,Genus
Godmania Santiago2014 unidsp 578,Santiago_2014_close_to_remnant,Genus
Guatteria Correa2016 unidsp 1,Correa_2016_Caqueta,Genus
Guatteria Correa2016 unidsp 172,Correa_2016_Apaporis,Genus
Guatteria Quitian2018 unidsp 100,Quitian_2018_1000Natural,Genus
Guettarda Quitian2018 unidsp 101,Quitian_2018_1000Natural,Genus
Hedyosmum Zamora-Delgado2008 unidsp 144,Zamora_Delgado_2008,Genus
Henriettea Gorchov1995 unidsp 1,Gorchov_1995,Genus
Henriettea M_SD_010single unidsp 1,M_SD_010_single_partners_added,Genus
Hieronyma Zamora-Delgado2008 unidsp 1,Zamora_Delgado_2008,Genus
Homalanthus sp1 M_SD_002,M_SD_002,Genus
Ilex Fadini2004 unidsp 484,Fadini_2004,Genus
Ilex M_SD_010single unidsp 1,M_SD_010_single_partners_added,Genus
Ilex Machado-de-Souza2019 unidsp 909,Machado_de_Souza_2019,Genus
Inga Arias-Arone2016 unidsp 1,Arias_Arone_2016,Genus
Inga Correa2016 unidsp 12,Correa_2016_Apaporis,Genus
Inga Quitian2018 unidsp 100,Quitian_2018_1000Fragmented,Genus
Inga Quitian2018 unidsp 101,Quitian_2018_1000Fragmented,Genus
Inga Quitian2018 unidsp 200,Quitian_2018_2000Fragmented,Genus
Juncus Jaroszewicz2013 unidsp 323,Jaroszewicz_2013,Genus
Laetia Correa2016 unidsp 1,Correa_2016_Caqueta,Genus
Landolphia Engel2000 unidsp 1,Engel_2000,Genus
Landolphia Engel2000 unidsp 2,Engel_2000,Genus
Lauraceae Correa2016 unidsp 1,Correa_2016_Caqueta,Family
Lauraceae Machado-de-Souza2019 unidsp 402,Machado_de_Souza_2019,Family
Leandra Blake1992 unidsp 707,Blake_1992,Genus
Leandra Genrich2017 unidsp 105,Genrich_2017,Genus
Lecointea Arias-Arone2016 unidsp 1,Arias_Arone_2016,Genus
Licaria Dehling2017 unidsp 853,Dehling_2017_Wayqecha_3,Genus
Linociera Pratt1985 unidsp 588,Pratt_1985,Genus
Lithocarpus Suzuki2007 unidsp 1,Suzuki_2007,Genus
Litsea VELHO2NA unidsp 75,VELHO2,Genus
Litsea VELHONA unidsp 800,VELHO,Genus
Lonicera Labbe2011 unidsp 944,Labbe_2011,Genus
Lophomyrtus Wyman2017 unidsp 780,Wyman_2017,Genus
Loranthaceae Correa2016 unidsp 1,Correa_2016_Caqueta,Family
Loranthaceae Quitian2018 unidsp 202,Quitian_2018_2000Fragmented,Family
Lycianthes Arias-Arone2016 unidsp 1,Arias_Arone_2016,Genus
Lycianthes Blake1992 unidsp 084,Blake_1992,Genus
Lycianthes Zamora-Delgado2008 unidsp 62,Zamora_Delgado_2008,Genus
Marcgravia Gorchov1995 unidsp 1,Gorchov_1995,Family
Marcgravia Gorchov1995 unidsp 301,Gorchov_1995,Family
Marcgravia M_SD_010single unidsp 793,M_SD_010_single_partners_added,Family
Marcgraviaceae Arias-Arone2016 unidsp 1,Arias_Arone_2016,Family
Marcgraviaceae Arias-Arone2016 unidsp 2,Arias_Arone_2016,Family
Marcgraviaceae Gorchov1995 unidsp 1,Gorchov_1995,Family
Maytenus Machado-de-Souza2019 unidsp 277,Machado_de_Souza_2019,Genus
Melastomataceae Arias-Arone2016 unidsp 1,Arias_Arone_2016,Family
Melastomataceae Arias-Arone2016 unidsp 2,Arias_Arone_2016,Family
Melastomataceae Blake1992 unidsp 073,Blake_1992,Family
Melastomataceae Blake1992 unidsp 103,Blake_1992,Family
Melastomataceae Blake1992 unidsp 108,Blake_1992,Family
Melastomataceae Blake1992 unidsp 118,Blake_1992,Family
Melastomataceae Gorchov1995 unidsp 1,Gorchov_1995,Family
Melastomataceae Gorchov1995 unidsp 2,Gorchov_1995,Family
Melastomataceae Lessa2010 unidsp 1,Lessa_2010,Family
Melastomataceae SARMwhole unidsp 2,SARM_whole_network_from_paper,Family
Melastomataceae SARMwhole unidsp mult,SARM_whole_network_from_paper,Family
Miconia Arias-Arone2016 unidsp 1,Arias_Arone_2016,Genus
Miconia Blake1992 unidsp 036,Blake_1992,Genus
Miconia Blake1992 unidsp 055,Blake_1992,Genus
Miconia Blake1992 unidsp 110,Blake_1992,Genus
Miconia Blake1992 unidsp 280,Blake_1992,Genus
Miconia Blake1992 unidsp 384,Blake_1992,Genus
Miconia Dehling2017 unidsp 2,Dehling_2017_Wayqecha_2,Genus
Miconia Dehling2017 unidsp 3,Dehling_2017_San_Pedro_1,Genus
Miconia Dehling2017 unidsp 6,Dehling_2017_San_Pedro_1,Genus
Miconia Fadini2004 unidsp 1,Fadini_2004,Genus
Miconia Garciaet unidsp 457,Garcia_et_al_2000,Genus
Miconia Kessler-Rios2012 unidsp 1,Kessler_Rios_2012,Genus
Miconia Lessa2013 unidsp 448,Lessa_2013,Genus
Miconia M_SD_010single unidsp 1,M_SD_010_single_partners_added,Genus
Miconia Machado-de-Souza2019 unidsp 1,Machado_de_Souza_2019,Genus
Miconia Machado-de-Souza2019 unidsp 2,Machado_de_Souza_2019,Genus
Miconia Novoa2011 unidsp 232,Novoa_2011,Genus
Miconia Quitian2018 unidsp 100,Quitian_2018_1000Natural,Genus
Miconia Quitian2018 unidsp 101,Quitian_2018_1000Natural,Genus
Miconia Quitian2018 unidsp 103,Quitian_2018_1000Fragmented,Genus
Miconia Quitian2018 unidsp 105,Quitian_2018_1000Fragmented,Genus
Miconia Quitian2018 unidsp 106,Quitian_2018_1000Natural,Genus
Miconia Quitian2018 unidsp 107,Quitian_2018_1000Natural,Genus
Miconia Quitian2018 unidsp 108,Quitian_2018_1000Fragmented; Quitian_2018_1000Natural,Genus
Miconia Quitian2018 unidsp 109,Quitian_2018_1000Fragmented,Genus
Miconia Quitian2018 unidsp 111,Quitian_2018_1000Fragmented; Quitian_2018_1000Natural,Genus
Miconia Quitian2018 unidsp 112,Quitian_2018_1000Fragmented; Quitian_2018_1000Natural,Genus
Miconia Quitian2018 unidsp 114,Quitian_2018_1000Fragmented,Genus
Miconia Quitian2018 unidsp 115,Quitian_2018_1000Natural,Genus
Miconia Quitian2018 unidsp 116,Quitian_2018_1000Fragmented; Quitian_2018_1000Natural,Genus
Miconia Quitian2018 unidsp 118,Quitian_2018_1000Natural,Genus
Miconia Quitian2018 unidsp 201,Quitian_2018_2000Natural,Genus
Miconia Quitian2018 unidsp 204,Quitian_2018_2000Fragmented,Genus
Miconia Quitian2018 unidsp 206,Quitian_2018_2000Fragmented,Genus
Miconia SARMwhole unidsp 1,SARM_whole_network_from_paper,Genus
Miconia SARMwhole unidsp 2,SARM_whole_network_from_paper,Genus
Miconia Zamora-Delgado2008 unidsp 1,Zamora_Delgado_2008,Genus
Miconia Zamora-Delgado2008 unidsp 10,Zamora_Delgado_2008,Genus
Miconia Zamora-Delgado2008 unidsp 2,Zamora_Delgado_2008,Genus
Miconia Zamora-Delgado2008 unidsp 3,Zamora_Delgado_2008,Genus
Miconia Zamora-Delgado2008 unidsp 4,Zamora_Delgado_2008,Genus
Miconia Zamora-Delgado2008 unidsp 5,Zamora_Delgado_2008,Genus
Miconia Zamora-Delgado2008 unidsp 6,Zamora_Delgado_2008,Genus
Miconia Zamora-Delgado2008 unidsp 7,Zamora_Delgado_2008,Genus
Miconia Zamora-Delgado2008 unidsp mult,Zamora_Delgado_2008,Genus
Miconia sp1 M_SD_012,M_SD_012,Genus
Mikania Quitian2018 unidsp 100,Quitian_2018_1000Fragmented,Genus
Mitragyna Suzuki2007 unidsp 1,Suzuki_2007,Genus
Mollia Quitian2018 unidsp 100,Quitian_2018_1000Fragmented,Genus
Monnina Quitian2018 unidsp 200,Quitian_2018_2000Fragmented,Genus
Moraceae Lou2005 unidsp 938,Lou_2005,Family
Moraceae Munster2008 unidsp 1,Munster_2008,Family
Musa DosReis unidsp 1,Dos_Reis_1983_Cult_et_form_sec,Genus
Musa Engel2000 unidsp 1,Engel_2000,Genus
Myrcia Andrade2011 unidsp 504,Andrade_2011,Genus
Myrcia Lessa2010 unidsp 571,Lessa_2010,Genus
Myrcia Lessa2013 unidsp 688,Lessa_2013,Genus
Myrcia M_SD_010single unidsp 1,M_SD_010_single_partners_added,Genus
Myrcia sp1 M_SD_003,M_SD_003,Genus
Myristica sp1 M_SD_002,M_SD_002,Genus
Myrsine Castro2015 unidsp 367,Castro_2015,Genus
Myrsine Machado-de-Souza2019 unidsp 138,Machado_de_Souza_2019,Genus
Myrtaceae Genrich2017 unidsp 1,Genrich_2017,Family
Myrtaceae Genrich2017 unidsp 2,Genrich_2017,Family
Myrtaceae Lessa2010 unidsp 1,Lessa_2010,Family
Myrtaceae Lessa2013 unidsp 1,Lessa_2013,Family
Myrtaceae Lima2016 unidsp 158,Lima_2016,Family
Myrtaceae Machado-de-Souza2019 unidsp 1,Machado_de_Souza_2019,Family
Myrtaceae Machado-de-Souza2019 unidsp 2,Machado_de_Souza_2019,Family
Myrtaceae Machado-de-Souza2019 unidsp 3,Machado_de_Souza_2019,Family
Myrtaceae Malaccoda unidsp 626,Malacco_da_Silva_2014,Family
Nectandra Fadini2004 unidsp 1,Fadini_2004,Genus
Neea Dehling2017 unidsp 1,Dehling_2017_San_Pedro_1,Genus
Nertera Odonnell1994 unidsp 929,Odonnell_1994,Genus
Nicotiana Arias-Arone2016 unidsp 1,Arias_Arone_2016,Genus
Ocotea Dehling2017 unidsp 231,Dehling_2017_San_Pedro_1,Genus
Ocotea Lessa2010 unidsp 109,Lessa_2010,Genus
Ocotea Malaccoda unidsp 392,Malacco_da_Silva_2014,Genus
Ocotea sp1 M_SD_012,M_SD_012,Genus
Orthaea Zamora-Delgado2008 unidsp 322,Zamora_Delgado_2008,Genus
Ossaea Blake1992 unidsp 369,Blake_1992,Genus
Ottonia Munster2008 unidsp 1,Munster_2008,Genus
Palicourea Quitian2018 unidsp 201,Quitian_2018_2000Natural,Genus
Palicourea Zamora-Delgado2008 unidsp 1,Zamora_Delgado_2008,Genus
Palicourea Zamora-Delgado2008 unidsp 2,Zamora_Delgado_2008,Genus
Palicourea sp1 M_SD_012,M_SD_012,Genus
Pandanus sp1 M_SD_002,M_SD_002,Genus
Panicum Nogales2017 unidsp 497,Nogales_2017,Genus
Passiflora Lopez& unidsp 485,Lopez_and_Vaughn_2004,Genus
Passifloraceae Gorchov1995 unidsp 1,Gorchov_1995,Family
